sessionId,prolificID,timestamp,expGroup,day,level,playerX,playerY,enemies_Hit
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:38.315,3,2,1.0,647.0,691.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:40.216,3,2,1.0,695.0,782.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:40.536,3,2,1.0,643.0,801.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:40.754,3,2,1.0,628.0,835.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:41.018,3,2,1.0,580.0,849.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:56:41.239,3,2,1.0,552.0,868.0,0.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:57:36.965,3,2,1.0,2270.0,2222.0,2.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:57:37.278,3,2,1.0,2212.0,2217.0,2.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:57:37.983,3,2,1.0,2169.0,2217.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:57:38.414,3,2,1.0,2198.0,2217.0,1.0
yelfrbgdgr6x87ea0wzh,,2022-01-12 10:57:58.707,3,2,1.0,451.0,0.0,0.0
yelfrbgdgr6x87ea0wzh,,2022-01-12 10:58:34.051,3,2,1.0,451.0,398.0,0.0
yelfrbgdgr6x87ea0wzh,,2022-01-12 10:58:47.259,3,2,1.0,451.0,398.0,1.0
b8sjg2rsm4ar12hm9zis,,2022-01-12 10:58:48.843,4,2,1.0,124.0,172.0,1.0
b8sjg2rsm4ar12hm9zis,,2022-01-12 10:58:49.066,4,2,1.0,134.0,163.0,1.0
yelfrbgdgr6x87ea0wzh,,2022-01-12 10:58:51.833,3,2,1.0,451.0,398.0,1.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:02.602,3,3,3.0,119.0,350.0,6.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:02.862,3,3,3.0,163.0,350.0,7.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:03.201,3,3,3.0,216.0,350.0,7.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:03.409,3,3,3.0,249.0,350.0,7.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:03.582,3,3,3.0,273.0,350.0,8.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:03.752,3,3,3.0,297.0,350.0,3.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:06.552,3,3,3.0,244.0,163.0,3.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:06.879,3,3,3.0,302.0,163.0,4.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:07.199,3,3,3.0,336.0,177.0,5.0
9gmdrx2d2zgevg9ndu9s,,2022-01-12 10:59:07.414,3,3,3.0,336.0,216.0,4.0
